,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,2008,1,2008-04-18,1st match,Royal Challengers Bangalore,Kolkata Knight Riders,Bengaluru,M.Chinnaswamy Stadium,Royal Challengers Bangalore,bowl,Mohammad Hafeez,Ricky Ponting,David Hussey,Sourav Ganguly (c),Brendon McCullum,Murali Kartik, Ishant Sharma, Ashok Dinda, Ajit Agarkar, Wriddhiman Saha, Laxmi Shukla,Zaheer Khan,Praveen Kumar,Ashley Noffke,Balachandra Akhil,Mark Boucher (wk),Rahul Dravid (c),Cameron White,Wasim Jaffer,Sunil Joshi,Jacques Kallis,Virat Kohli,0,140.0,0
1,2008,2,2008-04-19,2nd match,Kings XI Punjab,Chennai Super Kings,Mohali,Punjab Cricket Association IS Bindra Stadium,Chennai Super Kings,bat,S Badrinath,Jacob Oram,Suresh Raina,Michael Hussey,MS Dhoni (c & wk),Parthiv Patel,Matthew Hayden,Muttiah Muralitharan, Palani Amarnath, Joginder Sharma, Manpreet Gony,Irfan Pathan,Karan Goel,Simon Katich,Yuvraj Singh (c),Kumar Sangakkara (wk),James Hopes,Piyush Chawla, Wilkin Mota, S Sreesanth, Pankaj Dharmani, Brett Lee,0,33.0,0
2,2008,3,2008-04-19,3rd match,Delhi Daredevils,Rajasthan Royals,Delhi,Feroz Shah Kotla,Rajasthan Royals,bat,Ravindra Jadeja,Darren Lehmann,Shane Watson,Mohammad Kaif,Yusuf Pathan,Taruwar Kohli,Siddharth Trivedi,Shane Warne (c),Dinesh Salunkhe,Mahesh Rawat (wk),Munaf Patel,Gautam Gambhir,Shikhar Dhawan,Virender Sehwag (c),Brett Geeves, Glenn McGrath, Farveez Maharoof, Daniel Vettori, Manoj Tiwary, Mithun Manhas, Rajat Bhatia, Dinesh Karthik,1,0,9.0
3,2008,4,2008-04-20,4th match,Kolkata Knight Riders,Deccan Chargers,Kolkata,Eden Gardens,Deccan Chargers,bat,Pragyan Ojha,RP Singh,Chaminda Vaas,Arjun Yadav,Sanjay Bangar,Scott Styris,Rohit Sharma,Andrew Symonds,VVS Laxman (c),Adam Gilchrist (wk),Venugopal Rao,Laxmi Shukla,Wriddhiman Saha (wk),Mohammad Hafeez,David Hussey,Sourav Ganguly (c),Ricky Ponting,Brendon McCullum,Murali Kartik, Ishant Sharma, Ashok Dinda, Ajit Agarkar,1,0,5.0
4,2008,5,2008-04-20,5th match,Mumbai Indians,Royal Challengers Bangalore,Mumbai,Wankhede Stadium,Mumbai Indians,bat,Harbhajan Singh (c),Abhishek Nayar,Shaun Pollock,Pinal Shah,Robin Uthappa,Sanath Jayasuriya,Dominic Thornely,Luke Ronchi (wk),Dhawal Kulkarni, Ashish Nehra, Musavir Khote,Balachandra Akhil,Mark Boucher (wk),Shivnarine Chanderpaul,Virat Kohli,Jacques Kallis,Ross Taylor,Rahul Dravid (c),Praveen Kumar, Zaheer Khan, Sunil Joshi, Vinay Kumar,0,0,5.0
5,2008,6,2008-04-21,6th match,Rajasthan Royals,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,Kings XI Punjab,bat,Wilkin Mota,Piyush Chawla,Sunny Sohal,Yuvraj Singh (c),Irfan Pathan,Mahela Jayawardene,Kumar Sangakkara (wk),James Hopes,Karan Goel,Brett Lee,S Sreesanth,Ravindra Jadeja,Mohammad Kaif,Darren Lehmann,Kamran Akmal (wk),Shane Watson,Yusuf Pathan,Munaf Patel, Dinesh Salunkhe, Pankaj Singh, Siddharth Trivedi, Shane Warne,1,0,6.0
6,2008,7,2008-04-22,7th match,Deccan Chargers,Delhi Daredevils,Hyderabad,Rajiv Gandhi International Stadium,Deccan Chargers,bat,RP Singh,Arjun Yadav,Sanjay Bangar,Shahid Afridi,Rohit Sharma,Andrew Symonds,VVS Laxman (c),Adam Gilchrist (wk),Venugopal Rao,Chaminda Vaas,Pragyan Ojha,Gautam Gambhir,Shikhar Dhawan,Virender Sehwag (c),Yo Mahesh, Glenn McGrath, Farveez Maharoof, Shoaib Malik, Mohammad Asif, Rajat Bhatia, Manoj Tiwary, Dinesh Karthik,0,0,9.0
7,2008,8,2008-04-23,8th match,Chennai Super Kings,Mumbai Indians,Chennai,MA Chidambaram Stadium,Mumbai Indians,bowl,S Badrinath,Jacob Oram,MS Dhoni (c & wk),Suresh Raina,Michael Hussey,Parthiv Patel,Matthew Hayden,Muttiah Muralitharan, Palani Amarnath, Joginder Sharma, Manpreet Gony,Ashish Nehra,Musavir Khote,Harbhajan Singh (c),Abhishek Nayar,Luke Ronchi (wk),Dwayne Bravo,Shaun Pollock,Robin Uthappa,Sanath Jayasuriya,Vikrant Yeligati, Dhawal Kulkarni,1,6.0,0
8,2008,9,2008-04-24,9th match,Deccan Chargers,Rajasthan Royals,Hyderabad,Rajiv Gandhi International Stadium,Rajasthan Royals,bowl,Rohit Sharma,Arjun Yadav,Andrew Symonds,Shahid Afridi,Adam Gilchrist (wk),VVS Laxman (c),Doddapaneni Kalyankrishna, Pragyan Ojha, RP Singh, Chaminda Vaas, Sanjay Bangar,Dinesh Salunkhe,Pankaj Singh,Shane Warne (c),Ravindra Jadeja,Shane Watson,Mohammad Kaif,Graeme Smith,Yusuf Pathan,Kamran Akmal (wk),Munaf Patel, Siddharth Trivedi,0,0,3.0
9,2008,10,2008-04-25,10th match,Kings XI Punjab,Mumbai Indians,Mohali,Punjab Cricket Association IS Bindra Stadium,Mumbai Indians,bowl,Vikram Singh,S Sreesanth,Piyush Chawla,Brett Lee,Sunny Sohal,Ramnaresh Sarwan,Mahela Jayawardene,Yuvraj Singh (c),Irfan Pathan,Kumar Sangakkara (wk),Karan Goel,Dhawal Kulkarni,Musavir Khote,Harbhajan Singh (c),Abhishek Nayar,Luke Ronchi (wk),Ashish Nehra,Shaun Pollock,Saurabh Tiwary,Dwayne Bravo,Robin Uthappa,Sanath Jayasuriya,1,66.0,0
