,season,team1,team2,winner
1,2008,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
2,2008,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings
3,2008,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils
4,2008,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders
5,2008,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
6,2008,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals
7,2008,Deccan Chargers,Delhi Daredevils,Delhi Daredevils
8,2008,Chennai Super Kings,Mumbai Indians,Chennai Super Kings
9,2008,Deccan Chargers,Rajasthan Royals,Rajasthan Royals
10,2008,Kings XI Punjab,Mumbai Indians,Kings XI Punjab
11,2008,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
12,2008,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
13,2008,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab
14,2008,Mumbai Indians,Deccan Chargers,Deccan Chargers
15,2008,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
16,2008,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
17,2008,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils
18,2008,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
19,2008,Deccan Chargers,Kings XI Punjab,Kings XI Punjab
20,2008,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils
21,2008,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore
22,2008,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab
23,2008,Mumbai Indians,Delhi Daredevils,Mumbai Indians
24,2008,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
25,2008,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
26,2008,Chennai Super Kings,Deccan Chargers,Deccan Chargers
27,2008,Mumbai Indians,Rajasthan Royals,Mumbai Indians
28,2008,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings
29,2008,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
30,2008,Rajasthan Royals,Deccan Chargers,Rajasthan Royals
31,2008,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
32,2008,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders
33,2008,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals
34,2008,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab
35,2008,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
36,2008,Mumbai Indians,Chennai Super Kings,Mumbai Indians
37,2008,Delhi Daredevils,Deccan Chargers,Delhi Daredevils
38,2008,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
39,2008,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals
40,2008,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab
41,2008,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
42,2008,Deccan Chargers,Mumbai Indians,Mumbai Indians
43,2008,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils
44,2008,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
45,2008,Mumbai Indians,Kings XI Punjab,Kings XI Punjab
46,2008,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore
47,2008,Kings XI Punjab,Deccan Chargers,Kings XI Punjab
48,2008,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
49,2008,Delhi Daredevils,Mumbai Indians,Delhi Daredevils
50,2008,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore
51,2008,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
52,2008,Rajasthan Royals,Mumbai Indians,Rajasthan Royals
53,2008,Deccan Chargers,Chennai Super Kings,Chennai Super Kings
54,2008,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
55,2008,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab
56,2008,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals
57,2008,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
58,2008,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
59,2009,Chennai Super Kings,Mumbai Indians,Mumbai Indians
60,2009,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore
61,2009,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils
62,2009,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers
63,2009,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
64,2009,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
65,2009,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers
66,2009,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils
67,2009,Kolkata Knight Riders,Rajasthan Royals,False
68,2009,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
69,2009,Deccan Chargers,Mumbai Indians,Deccan Chargers
70,2009,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils
71,2009,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab
72,2009,Chennai Super Kings,Deccan Chargers,Deccan Chargers
73,2009,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
74,2009,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals
75,2009,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
76,2009,Kings XI Punjab,Mumbai Indians,Kings XI Punjab
77,2009,Deccan Chargers,Delhi Daredevils,Delhi Daredevils
78,2009,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
79,2009,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
80,2009,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore
81,2009,Deccan Chargers,Rajasthan Royals,Rajasthan Royals
82,2009,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings
83,2009,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab
84,2009,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore
85,2009,Chennai Super Kings,Deccan Chargers,Chennai Super Kings
86,2009,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals
87,2009,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils
88,2009,Deccan Chargers,Mumbai Indians,Deccan Chargers
89,2009,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
90,2009,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
91,2009,Delhi Daredevils,Mumbai Indians,Delhi Daredevils
92,2009,Deccan Chargers,Kings XI Punjab,Kings XI Punjab
93,2009,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
94,2009,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
95,2009,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils
96,2009,Deccan Chargers,Rajasthan Royals,Deccan Chargers
97,2009,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
98,2009,Kings XI Punjab,Mumbai Indians,Mumbai Indians
99,2009,Deccan Chargers,Delhi Daredevils,Delhi Daredevils
100,2009,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore
101,2009,Mumbai Indians,Rajasthan Royals,Rajasthan Royals
102,2009,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab
103,2009,Chennai Super Kings,Mumbai Indians,Chennai Super Kings
104,2009,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers
105,2009,Deccan Chargers,Kings XI Punjab,Kings XI Punjab
106,2009,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils
107,2009,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders
108,2009,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore
109,2009,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
110,2009,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
111,2009,Delhi Daredevils,Mumbai Indians,Delhi Daredevils
112,2009,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore
113,2009,Delhi Daredevils,Deccan Chargers,Deccan Chargers
114,2009,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore
115,2009,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers
116,2010,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders
